Player,Position,Points,BlockPoints,Aces,SpikePoints,Receive
Adam Lorenc,Opposite hitter,321,17,16,288,0
Adrian Buchowski,Wing spiker,45,3,3,39,42,74
Adrian Hunek,Middle blocker,28,7,2,19,0
Adrian Staszewski,Wing spiker,117,8,7,102,41,2
Aleksander Atanasijevic,Opposite hitter,433,21,46,366,0
Aleksander Berger,Wing spiker,309,21,17,271,49,81
Aleksander Piksa,Libero,0,0,0,0,0
Aleksander Œliwka,Wing spiker,453,37,25,391,43,43
Aliaksei Nasevich,Wing spiker,30,0,3,27,0
Andreas Takvam,Middle blocker,287,47,10,230,0
Andrii Zhukov,Libero,0,0,0,0,29,41
Andrzej Wrona,Middle blocker,157,34,4,119,0
Arkadiusz ¯akieta,Opposite hitter,29,4,1,24,0
Arshdeep Dosanjh,Setter,19,12,1,6,0
Artem Smoliar,Middle blocker,200,59,18,123,0
Artur Szalpuk,Wing spiker,444,45,28,371,39,64
Bart³omiej Bo³¹dŸ,Opposite hitter,566,41,44,481,0
Bart³omiej Janus,Middle blocker,8,2,0,6,0
Bart³omiej Kluth,Opposite hitter,129,10,6,113,0
Bart³omiej Krulicki,Middle blocker,9,2,2,5,0
Bart³omiej Lemañski,Middle blocker,243,47,23,173,0
Bart³omiej Lipiñski,Wing spiker,334,26,28,280,40,81
Bart³omiej Mordyl,Middle blocker,18,4,0,14,0
Bartosz Bednorz,Wing spiker,271,32,31,208,42,52
Bartosz Fija³ek,Libero,0,0,0,0,0
Bartosz Filipiak,Opposite hitter,542,45,46,451,0
Bartosz Firszt,Wing spiker,225,26,17,182,48,9
Bartosz Kwolek,Wing spiker,479,35,70,374,46,33
Bartosz Makoœ,Libero,0,0,0,0,0
Bartosz Mariañski,Libero,0,0,0,0,52,23
Benjamin Toniutti,Setter,15,5,4,6,0
Bohdan Mazenko,Middle blocker,50,9,3,38,0
Cezary Sapiñski,Middle blocker,229,46,36,147,0
Cristiano Torelli Mello Tavares,Setter,1,0,1,0,0
Damian Czetowicz,Setter,6,0,2,4,0
Damian Domaga³a,Opposite hitter,183,14,22,147,0
Damian Hudzik,Middle blocker,21,4,0,17,0
Damian Schulz,Opposite hitter,432,29,30,373,0
Damian Wojtaszek,Libero,0,0,0,0,48,84
Daniel G¹sior,Opposite hitter,20,3,2,15,0
Daulton Sinoski,Opposite hitter,89,2,9,78,0
David Smith,Middle blocker,238,51,22,165,0
Dawid Dryja,Middle blocker,58,9,5,44,0
Dawid Dulski,Opposite hitter,159,14,7,138,0
Dawid Gunia,Middle blocker,18,4,1,13,0
Dawid Konarski,Opposite hitter,477,52,35,390,0
Dawid Ogórek,Libero,0,0,0,0,0
Dawid Pawlun,Setter,1,0,1,0,0
Dawid Pruszkowski,Libero,0,0,0,0,0
Dawid Siwczyk,Middle blocker,14,1,0,13,0
Dawid Woch,Middle blocker,152,35,9,108,0
Dick Kooy,Wing spiker,365,21,31,313,37,72
Dmytro Kanaiev,Libero,0,0,0,0,40,48
Dmytro Pashytskyy,Middle blocker,300,91,20,189,0
Dominik Czerny,Wing spiker,9,0,2,7,0
Dominik Depowski,Wing spiker,32,3,1,28,0
Dominik Jaglarski,Libero,0,0,0,0,0
Dominik Kramczyñski,Middle blocker,21,6,3,12,0
Dominik Teklak,Libero,0,0,0,0,41,67
Dustin Watten,Libero,0,0,0,0,53,15
Eemi Tervaportti,Setter,31,10,5,16,0
Erik Shoji,Libero,0,0,0,0,50,33
Fabian Drzyzga,Setter,88,42,22,24,0
Filip Popiwczak,Libero,0,0,0,0,0
Filippo Lanza,Wing spiker,337,24,13,300,42,76
Florian Krage,Middle blocker,170,44,8,118,0
Georgi Seganov,Setter,47,13,5,29,0
Gonzalo Quiroga,Wing spiker,264,22,24,218,0
Grzegorz £omacz,Setter,29,11,9,9,0
Grzegorz Paj¹k,Setter,90,25,34,31,0
Igor Bogucki,Wing spiker,0,0,0,0,0
Igor Grobelny,Wing spiker,175,14,9,152,49,1
Ilia Kovalov,Wing spiker,233,20,22,191,44,76
Illia Dovhyi,Middle blocker,11,2,1,8,0
Jake Hanes,Opposite hitter,425,24,38,363,0
Jakub Abramowicz,Middle blocker,86,28,13,45,0
Jakub Bucki,Opposite hitter,228,29,25,174,0
Jakub Ciunajtis,Libero,0,0,0,0,44,69
Jakub Czerwiñski,Wing spiker,48,5,4,39,40,56
Jakub Jarosz,Opposite hitter,330,16,25,289,0
Jakub Kochanowski,Middle blocker,365,94,39,232,0
Jakub Kowalczyk,Middle blocker,141,26,22,93,0
Jakub Lewandowski,Middle blocker,5,0,0,5,0
Jakub Macyra,Middle blocker,98,24,9,65,0
Jakub Nowosielski,Setter,7,6,0,1,0
Jakub Popiwczak,Libero,0,0,0,0,45,8
Jakub Rybicki,Wing spiker,12,4,0,8,0
Jakub Szymañski,Wing spiker,360,26,25,309,39,59
Jakub Urbanowicz,Wing spiker,97,6,5,86,42,59
Jakub Wachnik,Wing spiker,115,5,10,100,44,63
Jan Firlej,Setter,94,36,25,33,0
Jan Franchi Martínez,Wing spiker,230,19,12,199,53,42
Jan Hadrava,Opposite hitter,242,25,25,192,0
Jan Kozamernik,Middle blocker,271,70,24,177,0
Jan Król,Opposite hitter,96,9,2,85,0
Jan Nowakowski,Middle blocker,241,53,5,183,0
Jan Zimmermann,Setter,5,0,3,2,0
Janusz Ga³¹zka,Middle blocker,16,5,1,10,0
Jeffrey Jendryk,Middle blocker,207,47,15,145,0
Jêdrzej Gruszczyñski,Libero,0,0,0,0,42,75
Jêdrzej KaŸmierczak,Wing spiker,10,2,2,6,0
Jingyin Zhang,Wing spiker,105,10,13,82,40,83
Jonas Kvalen,Wing spiker,258,28,14,216,42,27
Jordan Zaleszczyk,Middle blocker,17,2,5,10,0
Joshua Tuaniga,Setter,38,8,8,22,0
Julius Firkal,Wing spiker,298,16,26,256,42,76
Jurij Gladyr,Middle blocker,214,51,31,132,0
Kacper Piechocki,Libero,0,0,0,0,40,91
Kajetan Kubicki,Setter,32,9,18,5,0
Kamil Baranek,Wing spiker,36,6,3,27,0
Kamil Dembiec,Libero,0,0,0,0,43,46
Kamil Dêbski,Wing spiker,1,0,1,0,0
Kamil Droszyñski,Setter,13,3,4,6,0
Kamil Kwasowski,Wing spiker,290,30,26,234,38,51
Kamil Strzymszok,Setter,0,0,0,0,0
Kamil Szymendera,Wing spiker,27,2,3,22,0
Kamil Szymura,Libero,0,0,0,0,50,61
Karol Butryn,Opposite hitter,553,34,71,448,0
Karol Jankiewicz,Setter,12,5,4,3,0
Karol K³os,Middle blocker,272,77,8,187,0
Karol Urbanowicz,Middle blocker,237,44,23,170,0
Kento Miyaura,Opposite hitter,86,2,21,63,0
Kevin Tillie,Wing spiker,344,40,29,275,48,05
Klemen Èebulj,Wing spiker,337,24,45,268,39
Konrad Formela,Wing spiker,167,10,16,141,44,51
Konrad Jankowski,Middle blocker,77,28,2,47,0
Konrad Stajer,Middle blocker,46,11,7,28,0
